255,255,129;
255,254,128;
255,253,127;
255,252,126;
255,251,125;
255,250,124;
255,249,122;
255,248,121;
255,247,120;
255,246,119;
255,246,118;
255,245,117;
255,244,116;
255,243,115;
255,242,114;
255,241,113;
255,240,112;
255,239,111;
255,238,109;
255,237,108;
255,236,107;
255,235,106;
255,234,105;
255,233,104;
255,232,103;
255,231,102;
255,230,101;
255,229,100;
255,229,98;
255,228,97;
255,227,96;
255,226,95;
255,225,94;
255,224,93;
255,223,92;
255,222,91;
255,221,90;
255,220,89;
255,219,88;
255,218,87;
255,217,85;
255,216,84;
255,215,83;
255,214,82;
255,213,81;
255,212,80;
255,212,79;
255,211,78;
255,210,77;
255,209,76;
255,208,75;
255,207,73;
255,206,72;
255,205,71;
255,204,70;
255,203,69;
255,202,68;
255,201,67;
255,200,66;
255,199,65;
255,198,64;
255,197,63;
255,196,61;
255,195,60;
255,194,59;
255,193,58;
255,192,57;
255,191,56;
255,190,56;
255,189,55;
255,188,54;
255,187,53;
255,186,52;
255,185,51;
255,183,50;
255,182,49;
255,181,48;
255,180,47;
255,179,46;
255,178,45;
255,177,44;
255,176,43;
255,175,42;
255,173,42;
255,172,41;
255,171,40;
255,170,39;
255,169,38;
255,168,37;
255,167,36;
255,166,35;
255,165,34;
255,164,33;
255,162,32;
255,161,31;
255,160,30;
255,159,29;
255,158,28;
255,157,28;
255,156,27;
255,155,26;
255,154,25;
255,153,24;
255,151,23;
255,150,22;
255,149,21;
255,148,20;
255,147,19;
255,146,18;
255,145,17;
255,144,16;
255,143,15;
255,142,14;
255,140,14;
255,139,13;
255,138,12;
255,137,11;
255,136,10;
255,135,9;
255,134,8;
255,133,7;
255,132,6;
255,130,5;
255,129,4;
255,128,3;
255,127,2;
255,126,1;
255,125,0;
255,124,0;
254,123,0;
253,122,0;
252,121,0;
251,120,0;
251,119,0;
250,118,0;
249,117,0;
248,116,0;
247,115,0;
247,114,0;
246,113,0;
245,112,0;
244,111,0;
243,110,0;
243,109,0;
242,108,0;
241,107,0;
240,106,0;
239,105,0;
239,104,0;
238,103,0;
237,102,0;
236,101,0;
235,100,0;
235,99,0;
234,98,0;
233,97,0;
232,96,0;
231,95,0;
231,94,0;
230,93,0;
229,92,0;
228,91,0;
227,90,0;
227,89,0;
226,88,0;
225,87,0;
224,86,0;
223,85,0;
223,84,0;
222,83,0;
221,82,0;
220,81,0;
219,80,0;
219,79,0;
218,78,0;
217,77,0;
216,76,0;
215,75,0;
215,74,0;
214,73,0;
213,72,0;
212,71,0;
211,70,0;
211,69,0;
210,68,0;
209,67,0;
208,66,0;
207,65,0;
207,64,0;
206,63,0;
205,62,0;
204,61,0;
202,60,0;
198,59,0;
195,58,0;
192,57,0;
189,56,0;
186,55,0;
182,54,0;
179,53,0;
176,52,0;
173,51,0;
170,50,0;
166,49,0;
163,48,0;
160,47,0;
157,46,0;
154,45,0;
150,44,0;
147,43,0;
144,43,0;
141,42,0;
138,41,0;
134,40,0;
131,39,0;
128,38,0;
125,37,0;
122,36,0;
118,35,0;
115,34,0;
112,33,0;
109,32,0;
106,31,0;
102,30,0;
99,29,0;
96,28,0;
93,27,0;
90,26,0;
86,26,0;
83,25,0;
80,24,0;
77,23,0;
74,22,0;
70,21,0;
67,20,0;
64,19,0;
61,18,0;
58,17,0;
54,16,0;
51,15,0;
48,14,0;
45,13,0;
42,12,0;
38,11,0;
35,10,0;
32,9,0;
29,9,0;
26,8,0;
22,7,0;
19,6,0;
16,5,0;
13,4,0;
10,3,0;
6,2,0;
3,1,0;
0,0,0
